Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
137.0,270.0,1.406,0.194,235.69,6.2,0.0,1.0,0.0
44.0,208.0,2.632,0.0,237.14,11.0,2.0,0.0,17.0
1231.0,752.0,0.408,0.198,241.78,1.8,0.0,0.0,0.0
1199.0,1305.0,1.328,0.0,242.83,5.4,0.0,0.0,18.0
164.0,776.0,0.236,0.05,236.75,1.0,0.0,0.0,0.0
853.0,876.0,1.988,0.082,238.18,8.2,0.0,0.0,28.0
369.0,805.0,0.294,0.07,244.73,1.2,0.0,0.0,0.0
926.0,251.0,0.666,0.068,241.14,2.8,0.0,0.0,1.0
484.0,1048.0,1.316,0.0,238.98,5.4,0.0,0.0,18.0
568.0,620.0,0.642,0.052,241.03,2.6,0.0,0.0,1.0
275.0,1108.0,0.112,0.0,237.61,0.6,0.0,0.0,0.0
778.0,1114.0,0.76,0.424,240.92,3.6,1.0,0.0,0.0
731.0,563.0,0.454,0.23,248.63,2.0,0.0,0.0,0.0
259.0,855.0,0.132,0.0,240.98,0.6,0.0,0.0,0.0
1320.0,555.0,0.156,0.0,241.31,0.6,0.0,0.0,0.0
1121.0,1328.0,3.862,0.56,244.39,16.2,9.0,10.0,19.0
996.0,1147.0,0.136,0.0,244.1,0.6,0.0,0.0,0.0
1205.0,133.0,1.524,0.062,240.05,6.2,0.0,0.0,18.0
467.0,1327.0,0.292,0.0,243.7,1.2,0.0,0.0,0.0
150.0,797.0,0.34,0.0,234.97,1.4,0.0,0.0,0.0
0.0,20.0,5.894,0.0,232.69,25.4,0.0,0.0,16.0
1306.0,365.0,3.976,0.308,238.96,16.6,1.0,0.0,27.0
1174.0,1138.0,0.498,0.102,240.04,2.0,0.0,0.0,1.0
678.0,172.0,3.422,0.342,238.3,14.4,0.0,33.0,0.0
1299.0,1243.0,1.662,0.142,239.59,6.8,0.0,2.0,19.0
659.0,342.0,0.328,0.094,240.05,1.4,0.0,2.0,1.0
1037.0,704.0,0.328,0.08,241.92,1.4,0.0,0.0,0.0
223.0,263.0,1.696,0.102,234.63,7.2,2.0,0.0,0.0
1182.0,819.0,0.252,0.0,245.48,1.0,0.0,0.0,1.0
1259.0,748.0,0.158,0.0,239.68,0.6,0.0,0.0,1.0
24.0,671.0,0.216,0.0,242.19,1.0,0.0,0.0,0.0
639.0,1118.0,0.378,0.0,243.92,1.8,0.0,0.0,1.0
158.0,1189.0,0.654,0.304,233.39,3.0,0.0,3.0,0.0
1114.0,495.0,0.278,0.0,244.06,1.2,0.0,0.0,1.0
566.0,520.0,0.328,0.242,238.93,1.6,0.0,1.0,1.0
159.0,121.0,1.652,0.122,234.17,7.0,0.0,6.0,17.0
1012.0,402.0,0.368,0.12,244.86,1.6,0.0,0.0,1.0
763.0,704.0,1.418,0.066,244.39,5.8,0.0,1.0,0.0
512.0,1036.0,2.906,0.206,238.84,12.2,0.0,40.0,0.0
71.0,1415.0,0.222,0.0,243.28,1.0,0.0,0.0,0.0
933.0,34.0,0.288,0.216,239.66,1.4,0.0,1.0,0.0
443.0,734.0,1.812,0.318,240.17,7.6,0.0,2.0,17.0
753.0,133.0,4.622,0.3,245.42,18.8,41.0,0.0,0.0
1171.0,308.0,0.514,0.102,241.67,2.2,0.0,1.0,0.0
481.0,303.0,2.504,0.164,238.17,10.4,0.0,1.0,1.0
90.0,643.0,0.692,0.0,240.87,2.8,0.0,0.0,0.0
159.0,353.0,0.632,0.284,239.66,2.8,0.0,4.0,0.0
1140.0,1014.0,1.83,0.1,244.13,7.4,0.0,0.0,19.0
505.0,930.0,0.328,0.09,243.32,1.4,0.0,0.0,1.0
1086.0,7.0,3.362,0.0,235.99,14.2,0.0,0.0,18.0
1207.0,1111.0,1.408,0.074,244.22,5.6,0.0,0.0,19.0
767.0,1161.0,1.404,0.072,247.09,5.6,0.0,0.0,19.0
887.0,1339.0,3.726,0.0,239.58,15.4,0.0,39.0,18.0
290.0,355.0,0.52,0.102,241.09,2.2,0.0,0.0,0.0
687.0,1111.0,0.428,0.05,240.29,2.0,0.0,0.0,0.0
569.0,1185.0,0.138,0.0,239.42,0.6,0.0,0.0,0.0
1200.0,1249.0,1.54,0.06,242.54,6.2,0.0,0.0,19.0
428.0,364.0,0.346,0.122,244.75,1.4,0.0,0.0,0.0
809.0,523.0,0.356,0.09,244.57,1.6,0.0,0.0,0.0
1044.0,253.0,2.256,0.072,235.9,9.4,0.0,0.0,18.0
875.0,580.0,0.398,0.114,244.71,1.6,0.0,1.0,0.0
515.0,1295.0,1.448,0.228,239.64,6.0,1.0,0.0,19.0
1379.0,566.0,0.144,0.05,240.03,0.6,0.0,0.0,1.0
170.0,259.0,0.6,0.38,233.9,3.0,0.0,0.0,0.0
1190.0,1035.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
743.0,956.0,0.218,0.0,246.23,0.8,0.0,0.0,0.0
468.0,1224.0,1.302,0.0,241.07,5.4,0.0,0.0,18.0
1371.0,873.0,1.598,0.186,236.22,7.0,0.0,1.0,23.0
979.0,937.0,0.382,0.224,239.39,1.8,1.0,0.0,0.0
546.0,1240.0,1.324,0.104,239.99,5.4,0.0,1.0,19.0
475.0,373.0,1.484,0.202,241.4,6.2,0.0,0.0,18.0
1374.0,1371.0,1.226,0.056,242.25,5.0,0.0,0.0,18.0
1207.0,890.0,1.378,0.09,242.07,5.6,0.0,1.0,18.0
763.0,343.0,2.27,0.058,241.97,9.4,0.0,0.0,18.0
468.0,1052.0,1.406,0.046,240.75,5.8,0.0,0.0,18.0
1082.0,275.0,2.404,0.132,239.21,10.0,0.0,0.0,18.0
1288.0,209.0,0.26,0.122,242.04,1.2,0.0,0.0,1.0
390.0,270.0,3.624,0.256,236.23,15.4,37.0,0.0,0.0
242.0,827.0,0.106,0.0,239.34,0.4,0.0,0.0,0.0
238.0,825.0,0.22,0.152,234.77,1.0,0.0,0.0,0.0
1175.0,302.0,0.588,0.216,240.11,2.6,0.0,0.0,0.0
754.0,1357.0,0.272,0.0,245.73,1.2,0.0,0.0,0.0
1030.0,855.0,0.294,0.088,241.78,1.2,0.0,0.0,0.0
754.0,1390.0,0.436,0.214,247.06,2.0,0.0,0.0,0.0
66.0,1067.0,1.594,0.0,238.66,6.6,0.0,0.0,18.0
1366.0,1199.0,3.708,0.376,238.99,15.6,0.0,37.0,18.0
330.0,14.0,2.594,0.068,236.41,11.0,0.0,0.0,0.0
1099.0,1124.0,4.1,0.0,240.88,17.0,0.0,39.0,18.0
246.0,1107.0,0.174,0.102,240.28,0.8,0.0,0.0,0.0
434.0,356.0,1.446,0.118,242.24,6.0,0.0,0.0,18.0
628.0,78.0,0.148,0.0,237.13,0.6,0.0,0.0,1.0
1285.0,896.0,1.312,0.1,238.21,5.4,0.0,0.0,18.0
798.0,1288.0,0.284,0.0,244.4,1.2,1.0,0.0,0.0
782.0,1330.0,0.41,0.158,245.62,2.0,0.0,0.0,0.0
495.0,1402.0,0.32,0.05,242.33,1.4,0.0,0.0,0.0
1039.0,1330.0,0.324,0.078,244.58,1.4,0.0,0.0,1.0
41.0,1006.0,0.9,0.236,242.58,4.0,0.0,0.0,0.0
896.0,951.0,1.426,0.046,240.0,6.0,0.0,0.0,18.0
1005.0,483.0,1.034,0.396,240.68,4.6,0.0,1.0,12.0
451.0,548.0,0.23,0.0,248.65,1.0,0.0,0.0,0.0
1139.0,534.0,1.444,0.102,243.83,5.8,0.0,1.0,19.0
1042.0,702.0,0.416,0.208,243.51,1.8,0.0,0.0,1.0
230.0,1189.0,1.122,0.0,231.09,4.8,0.0,0.0,16.0
598.0,1323.0,0.244,0.248,239.05,1.4,0.0,0.0,0.0
1338.0,39.0,1.986,0.112,239.7,8.6,0.0,28.0,0.0
529.0,253.0,2.792,0.39,238.78,11.8,0.0,0.0,19.0
1079.0,1055.0,2.17,0.234,240.57,9.0,0.0,0.0,18.0
1092.0,189.0,2.7,0.374,246.59,11.0,0.0,13.0,1.0
331.0,1339.0,1.378,0.078,240.23,5.6,0.0,2.0,17.0
1165.0,199.0,1.09,0.38,238.57,4.8,0.0,2.0,1.0
918.0,655.0,0.24,0.0,243.01,1.0,0.0,0.0,0.0
305.0,269.0,2.818,0.088,237.23,11.8,0.0,0.0,17.0
561.0,1206.0,0.698,0.058,239.92,3.2,1.0,0.0,9.0
700.0,1055.0,1.398,0.048,238.1,5.8,0.0,1.0,18.0
340.0,1170.0,1.256,0.052,237.44,5.2,0.0,0.0,17.0
481.0,1021.0,1.328,0.0,241.06,5.4,0.0,0.0,18.0
1200.0,91.0,0.662,0.112,241.47,2.8,0.0,1.0,0.0
776.0,867.0,2.42,0.168,239.33,10.0,2.0,0.0,18.0
929.0,339.0,1.128,0.392,244.78,4.8,0.0,0.0,13.0
1234.0,1163.0,0.312,0.074,238.72,1.2,0.0,1.0,1.0
397.0,1270.0,0.386,0.058,247.18,1.8,0.0,0.0,0.0
282.0,589.0,0.206,0.102,240.1,1.0,0.0,0.0,0.0
1002.0,978.0,0.318,0.22,242.43,1.6,0.0,1.0,1.0
340.0,199.0,3.4,0.296,239.74,14.4,1.0,0.0,18.0
1157.0,363.0,1.502,0.0,243.46,6.0,0.0,0.0,19.0
1006.0,806.0,0.818,0.342,239.28,3.8,0.0,1.0,8.0
662.0,314.0,2.038,0.06,241.57,8.4,1.0,0.0,19.0
1229.0,982.0,1.412,0.08,240.4,5.8,0.0,0.0,18.0
1187.0,520.0,0.448,0.224,242.1,2.2,0.0,0.0,0.0
763.0,82.0,3.228,0.256,237.42,13.6,0.0,0.0,18.0
184.0,727.0,0.088,0.0,242.29,0.4,0.0,0.0,0.0
578.0,326.0,0.792,0.374,241.04,3.6,0.0,1.0,1.0
147.0,887.0,1.304,0.092,233.39,5.6,0.0,2.0,17.0
996.0,812.0,3.004,0.214,240.21,12.4,0.0,1.0,18.0
970.0,699.0,0.16,0.0,243.35,0.6,0.0,0.0,0.0
198.0,396.0,0.272,0.19,242.47,1.4,0.0,1.0,0.0
1247.0,393.0,1.51,0.086,243.01,6.2,0.0,0.0,19.0
625.0,1010.0,1.536,0.194,238.18,6.6,0.0,0.0,18.0
205.0,116.0,0.432,0.0,242.3,1.8,0.0,0.0,0.0
30.0,170.0,3.456,0.27,237.47,14.8,0.0,0.0,17.0
1251.0,858.0,2.498,0.36,239.96,10.4,0.0,0.0,29.0
1031.0,910.0,1.382,0.066,236.69,5.8,1.0,1.0,18.0
53.0,619.0,0.298,0.11,245.0,1.2,0.0,0.0,0.0
1011.0,778.0,0.754,0.236,240.13,3.6,0.0,0.0,8.0
1125.0,1190.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
447.0,514.0,0.218,0.0,243.01,0.8,0.0,0.0,0.0
1148.0,1078.0,1.444,0.136,242.95,5.8,0.0,0.0,18.0
625.0,750.0,0.142,0.0,239.07,0.6,0.0,0.0,1.0
80.0,1108.0,0.312,0.102,242.52,1.4,0.0,2.0,0.0
955.0,500.0,0.234,0.13,242.76,1.0,0.0,1.0,1.0
156.0,396.0,1.448,0.168,238.15,6.0,0.0,0.0,18.0
833.0,377.0,5.014,0.074,240.65,20.8,38.0,0.0,17.0
295.0,1376.0,0.396,0.0,240.83,1.6,0.0,2.0,0.0
477.0,1078.0,3.926,0.0,235.68,16.8,1.0,31.0,18.0
742.0,389.0,2.186,0.288,244.21,9.0,0.0,0.0,0.0
359.0,64.0,3.306,0.046,236.42,14.0,0.0,0.0,17.0
169.0,681.0,0.374,0.168,235.84,1.6,0.0,1.0,0.0
196.0,603.0,0.202,0.084,241.26,0.8,0.0,0.0,0.0
885.0,700.0,0.34,0.102,240.14,1.4,0.0,0.0,1.0
1179.0,1220.0,1.56,0.0,242.51,6.4,0.0,1.0,19.0
616.0,1189.0,0.33,0.384,242.28,2.0,0.0,1.0,1.0
1373.0,361.0,0.25,0.1,244.49,1.0,0.0,0.0,0.0
377.0,832.0,0.36,0.166,244.28,1.6,0.0,0.0,0.0
1148.0,1147.0,1.492,0.186,241.77,6.2,0.0,0.0,19.0
1099.0,1287.0,1.332,0.052,247.04,5.4,0.0,0.0,18.0
523.0,623.0,0.5,0.05,240.0,2.6,0.0,0.0,5.0
976.0,1193.0,5.102,0.25,236.63,21.4,37.0,39.0,1.0
1063.0,816.0,1.246,0.086,241.07,5.2,0.0,0.0,1.0
19.0,1323.0,0.302,0.046,242.87,1.4,0.0,0.0,0.0
783.0,707.0,0.368,0.072,246.95,1.6,0.0,0.0,0.0
971.0,703.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
189.0,952.0,0.216,0.122,238.85,1.0,0.0,0.0,0.0
477.0,1071.0,1.906,0.204,233.26,8.2,1.0,0.0,17.0
107.0,1287.0,1.458,0.226,242.69,6.0,0.0,1.0,18.0
1057.0,875.0,2.062,0.106,240.26,8.6,0.0,0.0,19.0
951.0,1226.0,0.24,0.124,239.98,1.0,0.0,0.0,0.0
305.0,1321.0,0.346,0.07,239.9,1.4,0.0,0.0,0.0
348.0,321.0,0.714,0.05,244.78,3.2,0.0,0.0,0.0
376.0,576.0,0.25,0.0,247.31,1.0,0.0,0.0,0.0
716.0,434.0,0.308,0.048,245.82,1.4,0.0,0.0,0.0
1432.0,138.0,2.43,0.0,238.11,10.2,2.0,0.0,18.0
56.0,187.0,4.8,0.174,235.03,20.4,38.0,0.0,16.0
98.0,1358.0,3.726,0.08,241.72,15.4,0.0,40.0,18.0
200.0,1355.0,0.248,0.148,241.96,1.2,0.0,1.0,0.0
19.0,559.0,2.348,0.0,243.22,9.6,0.0,0.0,0.0
1203.0,452.0,0.332,0.098,241.44,1.4,0.0,0.0,1.0
1123.0,1131.0,1.492,0.132,244.22,6.0,0.0,0.0,19.0
953.0,481.0,0.222,0.13,242.49,1.0,0.0,1.0,1.0
874.0,399.0,0.386,0.148,243.68,1.8,0.0,0.0,1.0
572.0,528.0,0.136,0.0,239.35,0.6,0.0,0.0,0.0
922.0,608.0,0.144,0.0,243.51,0.6,0.0,0.0,1.0
654.0,244.0,3.278,0.0,238.5,13.8,1.0,0.0,18.0
662.0,746.0,0.35,0.106,240.24,1.4,0.0,0.0,0.0
687.0,330.0,0.428,0.058,241.15,2.0,0.0,0.0,0.0
483.0,1321.0,4.372,0.812,240.37,18.4,39.0,1.0,18.0
1046.0,814.0,1.764,0.126,240.47,7.2,0.0,0.0,18.0
431.0,791.0,0.376,0.098,243.87,1.6,0.0,0.0,0.0
1330.0,1199.0,0.25,0.12,244.32,1.2,0.0,1.0,1.0
752.0,1152.0,1.464,0.0,246.22,5.8,0.0,0.0,18.0
885.0,1241.0,0.34,0.1,239.63,1.4,0.0,0.0,1.0
947.0,447.0,0.13,0.0,240.53,0.6,0.0,0.0,1.0
797.0,1370.0,0.674,0.142,243.12,3.0,0.0,0.0,0.0
259.0,998.0,1.188,0.0,236.91,5.0,0.0,0.0,17.0
554.0,1295.0,0.998,0.23,238.23,4.2,0.0,0.0,12.0
712.0,308.0,0.298,0.0,245.76,1.2,0.0,0.0,0.0
1332.0,583.0,0.344,0.242,241.6,1.6,0.0,2.0,1.0
299.0,1432.0,0.256,0.054,237.97,1.2,0.0,0.0,0.0
1084.0,894.0,1.786,0.084,241.08,7.4,0.0,2.0,19.0
611.0,371.0,0.158,0.13,243.72,0.8,0.0,0.0,1.0
805.0,562.0,0.36,0.116,246.13,1.6,0.0,0.0,0.0
670.0,1143.0,0.792,0.118,240.49,3.4,0.0,0.0,1.0
165.0,253.0,3.848,0.05,235.27,16.4,37.0,0.0,0.0
562.0,426.0,0.216,0.1,240.08,1.0,0.0,0.0,1.0
257.0,141.0,4.302,0.466,237.62,18.2,39.0,0.0,18.0
652.0,397.0,2.638,0.352,239.59,11.0,0.0,0.0,0.0
1439.0,1075.0,1.28,0.066,238.07,5.4,0.0,0.0,17.0
1282.0,808.0,0.252,0.084,242.5,1.0,0.0,0.0,1.0
76.0,1245.0,0.394,0.234,242.22,1.8,0.0,0.0,0.0
1421.0,934.0,3.6,0.06,236.12,15.2,37.0,0.0,18.0
993.0,424.0,0.268,0.082,244.06,1.2,0.0,0.0,1.0
795.0,1215.0,1.26,0.066,239.93,5.2,0.0,0.0,17.0
1422.0,828.0,0.34,0.054,241.97,1.4,0.0,0.0,0.0
900.0,526.0,0.282,0.096,243.21,1.2,0.0,0.0,0.0
550.0,1197.0,0.152,0.0,242.08,0.6,0.0,0.0,1.0
884.0,1358.0,0.488,0.32,240.62,2.4,0.0,2.0,0.0
627.0,926.0,1.272,0.0,239.69,5.2,0.0,0.0,18.0
911.0,108.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
958.0,10.0,3.192,0.086,234.07,13.8,0.0,32.0,17.0
1194.0,245.0,1.838,0.354,240.64,8.0,1.0,1.0,7.0
751.0,746.0,0.368,0.0,249.22,1.6,0.0,0.0,0.0
1047.0,532.0,0.226,0.0,245.19,0.8,0.0,0.0,1.0
1004.0,1371.0,0.274,0.088,234.68,1.2,0.0,1.0,1.0
829.0,594.0,0.348,0.064,243.51,1.4,0.0,0.0,0.0
261.0,1109.0,0.12,0.0,239.01,0.6,0.0,0.0,0.0
551.0,1299.0,0.208,0.052,240.26,1.0,0.0,0.0,1.0
662.0,228.0,1.702,0.058,242.26,7.0,0.0,0.0,19.0
799.0,1110.0,0.2,0.05,240.85,0.8,0.0,0.0,0.0
138.0,948.0,1.116,0.0,233.43,4.8,0.0,0.0,17.0
608.0,488.0,0.24,0.242,240.7,1.4,0.0,2.0,1.0
390.0,127.0,3.162,0.434,233.9,13.6,0.0,0.0,0.0
793.0,1304.0,0.396,0.082,242.88,1.8,0.0,0.0,0.0
1272.0,124.0,1.262,0.31,239.81,5.4,0.0,0.0,1.0
215.0,217.0,0.366,0.114,238.38,1.6,2.0,0.0,0.0
576.0,452.0,0.148,0.0,239.5,0.6,0.0,0.0,1.0
240.0,375.0,2.16,0.096,234.75,9.2,0.0,0.0,16.0
715.0,691.0,0.22,0.052,244.64,1.0,0.0,0.0,0.0
969.0,538.0,0.346,0.272,240.78,1.8,0.0,1.0,0.0
32.0,910.0,2.756,0.374,243.68,11.4,0.0,0.0,18.0
695.0,180.0,0.336,0.0,238.84,1.4,0.0,0.0,0.0
213.0,364.0,0.192,0.0,238.75,1.0,0.0,0.0,0.0
925.0,714.0,0.234,0.122,244.59,1.0,0.0,0.0,0.0
1082.0,1183.0,1.756,0.098,243.9,7.2,0.0,1.0,19.0
861.0,570.0,0.268,0.0,241.97,1.0,0.0,0.0,1.0
433.0,1080.0,0.48,0.084,238.51,2.2,0.0,0.0,0.0
1275.0,409.0,1.938,0.264,238.37,8.2,0.0,2.0,1.0
1276.0,415.0,0.802,0.336,243.0,3.6,0.0,1.0,1.0
964.0,731.0,0.206,0.102,240.6,1.0,0.0,0.0,0.0
913.0,54.0,1.364,0.0,239.26,5.6,0.0,0.0,19.0
1129.0,666.0,0.344,0.134,244.11,1.4,0.0,0.0,1.0
293.0,281.0,1.318,0.17,240.53,5.4,0.0,2.0,0.0
1163.0,486.0,0.344,0.056,242.25,1.4,0.0,1.0,1.0
1036.0,564.0,0.224,0.046,240.47,0.8,0.0,0.0,0.0
216.0,759.0,0.216,0.102,235.99,1.0,0.0,0.0,0.0
1139.0,781.0,0.38,0.126,244.02,1.6,0.0,0.0,1.0
1198.0,1372.0,0.736,0.31,242.42,3.2,0.0,1.0,1.0
3.0,1309.0,0.394,0.214,238.67,1.8,0.0,0.0,0.0
812.0,701.0,0.34,0.072,246.58,1.4,0.0,0.0,0.0
1064.0,422.0,0.482,0.318,241.36,2.4,0.0,1.0,1.0
595.0,651.0,0.236,0.128,239.97,1.0,0.0,0.0,1.0
449.0,632.0,0.254,0.0,241.13,1.0,0.0,0.0,0.0
990.0,525.0,0.214,0.0,241.04,1.2,0.0,0.0,0.0
700.0,164.0,3.046,0.0,236.55,12.8,0.0,0.0,17.0
321.0,8.0,3.03,0.114,236.65,12.8,0.0,0.0,17.0
680.0,15.0,1.334,0.0,238.9,5.6,0.0,0.0,18.0
998.0,391.0,0.264,0.122,242.56,1.2,0.0,0.0,1.0
660.0,726.0,1.552,0.306,236.65,6.6,0.0,0.0,18.0
122.0,1032.0,1.216,0.0,240.33,5.0,0.0,0.0,18.0
298.0,14.0,0.384,0.198,240.07,1.8,0.0,0.0,0.0
720.0,645.0,0.272,0.056,243.55,1.2,0.0,0.0,0.0
1378.0,696.0,0.216,0.048,238.93,0.8,0.0,0.0,1.0
186.0,1165.0,0.45,0.198,240.19,2.2,0.0,1.0,0.0
463.0,1346.0,1.728,0.178,243.6,7.2,0.0,0.0,18.0
267.0,1105.0,1.894,0.304,235.56,8.4,1.0,0.0,17.0
592.0,500.0,0.348,0.0,239.45,1.8,0.0,0.0,1.0
1191.0,33.0,0.394,0.108,239.84,1.8,0.0,0.0,0.0
1240.0,712.0,0.26,0.0,243.77,1.2,0.0,0.0,1.0
285.0,67.0,0.28,0.06,240.76,1.2,0.0,0.0,0.0
87.0,1108.0,0.374,0.192,238.19,1.8,0.0,2.0,0.0
1124.0,866.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
1315.0,489.0,2.034,0.242,236.15,8.6,0.0,1.0,28.0
938.0,756.0,0.352,0.25,243.99,1.8,0.0,0.0,1.0
1093.0,526.0,0.352,0.126,246.37,1.4,0.0,2.0,1.0
536.0,325.0,1.7,0.244,234.84,7.4,1.0,2.0,0.0
1044.0,413.0,2.058,0.346,238.89,8.6,0.0,1.0,1.0
310.0,1113.0,1.346,0.062,239.84,5.6,0.0,0.0,17.0
1249.0,524.0,0.27,0.0,242.3,1.2,0.0,0.0,1.0
1040.0,1153.0,0.698,0.072,242.98,2.8,0.0,1.0,0.0
960.0,1039.0,0.21,0.124,241.35,1.0,0.0,2.0,1.0
1423.0,306.0,1.458,0.0,240.06,6.2,0.0,0.0,4.0
1260.0,1362.0,2.774,0.23,242.3,11.4,38.0,2.0,1.0
78.0,641.0,0.216,0.0,239.19,0.8,0.0,0.0,0.0
1107.0,553.0,0.3,0.0,246.6,1.4,0.0,0.0,1.0
1037.0,1396.0,0.248,0.058,239.08,1.0,0.0,0.0,1.0
805.0,1418.0,5.046,0.392,235.89,21.4,0.0,74.0,0.0
1410.0,946.0,3.224,0.318,237.21,14.0,0.0,38.0,0.0
1174.0,1359.0,0.37,0.118,244.33,1.6,0.0,0.0,1.0
577.0,664.0,0.376,0.276,238.5,2.0,0.0,1.0,1.0
179.0,464.0,0.21,0.122,238.65,1.0,0.0,0.0,0.0
315.0,1351.0,1.348,0.09,238.68,5.6,0.0,0.0,17.0
53.0,1303.0,1.554,0.0,245.42,6.2,0.0,0.0,18.0
376.0,1374.0,1.052,0.0,247.81,4.2,0.0,0.0,0.0
456.0,398.0,0.376,0.134,245.23,1.6,0.0,0.0,0.0
1182.0,764.0,0.436,0.282,247.44,2.0,0.0,1.0,1.0
1118.0,777.0,1.552,0.222,248.87,6.2,0.0,1.0,20.0
189.0,1019.0,0.122,0.0,240.71,0.6,0.0,0.0,0.0
109.0,52.0,0.638,0.104,241.27,2.6,0.0,1.0,0.0
1407.0,886.0,1.732,0.178,242.59,7.2,0.0,0.0,18.0
1067.0,889.0,2.112,0.07,237.5,8.8,0.0,0.0,18.0
8.0,1242.0,1.868,0.216,241.81,7.8,0.0,3.0,18.0
209.0,162.0,1.784,0.362,241.97,7.4,0.0,0.0,18.0
944.0,897.0,0.23,0.056,240.46,1.0,0.0,0.0,1.0
39.0,375.0,1.684,0.078,244.52,6.8,0.0,0.0,18.0
705.0,1070.0,1.344,0.074,239.02,5.6,0.0,0.0,17.0
1263.0,339.0,0.654,0.0,240.67,2.6,0.0,0.0,1.0
1170.0,942.0,0.42,0.0,239.82,1.8,0.0,0.0,1.0
1303.0,12.0,0.548,0.378,237.2,2.8,0.0,0.0,0.0
882.0,724.0,0.25,0.116,242.01,1.0,0.0,0.0,1.0
114.0,17.0,1.512,0.32,238.45,6.4,0.0,2.0,17.0
1078.0,208.0,1.658,0.118,242.76,6.8,0.0,0.0,19.0
810.0,279.0,0.532,0.162,237.92,2.4,0.0,0.0,0.0
1206.0,747.0,0.42,0.23,244.48,1.8,0.0,1.0,1.0
1047.0,764.0,0.294,0.078,242.59,1.2,0.0,0.0,1.0
226.0,748.0,0.102,0.0,236.84,0.4,0.0,0.0,0.0
